h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
86264bcd7ffffff,551.0,,32050198.1854,58167.328830127044
86264bcdfffffff,1081.0,,3677597.6554,3402.032983718779
86264bcefffffff,986.0,,2007165.5436,2035.6648515212983
862659207ffffff,357.0,,308406.0323,863.882443417367
86265920fffffff,86.0,,739446.6769,8598.217173255813
862659217ffffff,375.0,,585497.8234,1561.3275290666666
86265921fffffff,314.0,,203442.91513,647.9073730254777
862659227ffffff,769.0,,2141984.4042,2785.41535006502
86265922fffffff,515.0,,511153.3779,992.5308308737865
862659237ffffff,1989.0,,14010401.1063,7043.942235444947
862659247ffffff,613.0,,751309.8732,1225.6278518760196
86265924fffffff,641.0,,1050511.5407,1638.8635580343214
862659257ffffff,499.0,,1799168.2734,3605.5476420841683
86265925fffffff,1290.0,,3540245.26897,2744.376177496124
862659267ffffff,672.0,,1835424.2087,2731.2860248511906
86265926fffffff,397.0,,1098598.6789,2767.2510803526447
862659277ffffff,1045.0,,5250607.490999999,5024.504776076555
862659287ffffff,180.0,,350278.3768,1945.9909822222223
86265928fffffff,2975.0,,226633707.2635,76179.3973994958
862659297ffffff,19.0,,241523.76,12711.776842105264
86265929fffffff,341.0,,1564116.145,4586.85086510264
8626592a7ffffff,42.0,,193045.7154,4596.3265571428565
8626592afffffff,2025.0,,85148640.8592,42048.711535407405
8626592c7ffffff,105.0,,184718.2316,1759.2212533333334
8626592cfffffff,14.0,,75259.2598,5375.661414285714
8626592d7ffffff,302.0,,411371.96865999995,1362.1588366225164
8626592dfffffff,174.0,,576748.3100599999,3314.645460114942
8626592e7ffffff,67.0,,796648.0311700001,11890.2691219403
8626592efffffff,445.0,,266814.43686,599.5830041797753
8626592f7ffffff,598.0,,1119401.83574,1871.9094243143813
86265930fffffff,1582.0,,3947279.9695,2495.120081858407
86265931fffffff,642.0,,5975549.3132,9307.7092105919
86265932fffffff,317.0,,38096.2467,120.17743438485806
862659347ffffff,711.0,,2285739.404,3214.82335302391
86265934fffffff,887.0,,5872151.2002,6620.238106200676
862659357ffffff,1732.0,,3725369.8793,2150.9063968244805
86265935fffffff,39.0,,1029416.1276,26395.28532307692
862659367ffffff,1966.0,,11824736.3422,6014.61665422177
86265936fffffff,7007.0,,250265302.5682,35716.46961155987
862659377ffffff,1114.0,,3989166.7465,3580.9396288150806
862659387ffffff,4.0,,38949.9072,9737.4768
86265938fffffff,388.0,,2371673.5408799998,6112.5606723711335
862659397ffffff,3.0,,16886.6723,5628.890766666666
8626593afffffff,9.0,,52171511.8961,5796834.655122222
862659607ffffff,3328.0,,321186907.9053,96510.48915423678
86265960fffffff,137.0,,1444858.25042,10546.410587007298
